36101,196760,4
479203,196805,5
343426,196805,5
11281,196805,4
547301,215410,5
379776,215700,3
431727,219409,4
431727,219409,4
887953,220168,3
423002,220168,1
8413,220509,4
241519,221158,4
310624,222757,5
297302,222757,4
304361,222757,5
301400,222757,5
297301,222757,5
284010,222757,5
283185,222757,5
280244,222757,5
223149,223605,4
222645,223605,4
539628,223739,4
222121,223917,4
253761,223926,3
580786,223945,4
222753,223945,4
223159,224067,4
582724,224130,5
221744,224487,5
275056,224988,5
221661,225268,4
223836,225358,4
222642,226304,4
222417,226744,3
221755,226938,4
222113,226971,5
221744,227255,4
223159,227258,4
223836,227276,4
222450,227280,4
222687,227308,4
223030,227425,5
16963,229385,5
217372,229411,3
274606,230465,5
550213,230757,5
585700,230758,5
552310,235924,4
378730,235924,4
272843,236102,4
408303,238005,5
264906,238932,4
505315,239264,5
430029,239264,4
404959,239264,5
339406,240693,5
237939,241020,5
605614,241963,4
553059,241963,5
409938,241963,4
353080,241963,4
247615,241963,5
560582,243085,3
450753,243085,4
339823,243085,4
19062,243667,4
6272,243764,5
19062,245864,4
638611,247155,4
382413,248810,4
36101,250275,5
593674,252049,3
612352,252795,4
680224,254729,4
450753,254729,4
381731,254735,4
284199,255357,3
389151,257299,4
228935,259733,4
260765,259733,4
259745,259733,4
913760,261217,4
901414,261217,5
888126,261217,5
775245,261217,4
854117,261217,3
849058,261217,4
36791,261217,5
832965,261217,5
832721,261217,5
732715,261217,4
734439,261217,4
686256,261217,5
684033,261217,4
410745,261217,5
248734,261217,4
474464,261217,5
578769,261217,5
527004,261217,4
495363,261217,4
397286,261217,5
25942,261217,4
16963,261517,4
16963,261663,5
16963,261757,5
697075,264688,4
18869,264688,5
612374,264688,4
518037,266108,4
449989,267675,5
701046,268722,5
19062,268729,4
299637,269001,4
15410,271482,5
336070,271482,4
36101,271482,5
271319,271482,5
270407,271506,4
270407,271706,5
270407,272256,5
8390,272256,4
277374,272258,4
270407,272258,3
8390,272266,5
271421,272266,5
271443,272273,5
270407,272273,5
271319,272352,5
697075,272355,4
16963,272355,5
9620,272712,1
8390,272712,4
8390,272715,5
270407,272715,4
800730,273128,5
8390,273282,5
432315,273972,4
297301,273972,3
301400,273972,3
378373,274009,5
20295,275866,3
272402,276268,5
248734,280373,4
32930,280373,5
356807,281072,3
281067,281072,5
302405,284250,1
569385,284357,3
20295,285153,3
20295,285158,3
560582,288402,4
27802,288822,4
32930,290372,4
18869,291270,3
689331,291440,4
310624,291570,4
20295,292251,4
638049,292358,3
734272,292507,5
504741,294104,5
427665,294132,4
399617,294132,4
449989,294132,5
27956,294807,4
620790,294932,4
788101,296031,3
346481,296426,4
32930,296426,5
32930,296430,5
260782,296871,5
32930,297479,3
32930,298280,5
539628,302357,5
422547,303977,4
510867,304047,4
219906,304047,5
32930,305299,5
514395,305314,4
774080,311978,5
